width,height,area,success,coverage,stepsUsed,ratio
82,1,82,true,82,154,1.8780487804878048
1,83,83,true,83,175,2.108433734939759
83,1,83,true,83,155,1.8674698795180722
1,84,84,true,84,176,2.0952380952380953
84,1,84,true,84,156,1.8571428571428572
1,85,85,true,85,177,2.0823529411764707
85,1,85,true,85,157,1.8470588235294119
1,86,86,true,86,178,2.0697674418604652
86,1,86,true,86,158,1.8372093023255813
1,87,87,true,87,179,2.057471264367816
87,1,87,true,87,159,1.8275862068965518
1,88,88,true,88,180,2.0454545454545454
88,1,88,true,88,160,1.8181818181818181
1,89,89,true,89,181,2.033707865168539
89,1,89,true,89,161,1.8089887640449438
1,90,90,true,90,182,2.022222222222222
90,1,90,true,90,162,1.8
1,91,91,true,91,183,2.010989010989011
91,1,91,true,91,163,1.7912087912087913
1,92,92,true,92,184,2.0
92,1,92,true,92,164,1.7826086956521738
1,93,93,true,93,185,1.989247311827957
93,1,93,true,93,165,1.7741935483870968
1,94,94,true,94,186,1.9787234042553192
94,1,94,true,94,167,1.7765957446808511
1,95,95,true,95,210,2.210526315789474
95,1,95,true,95,187,1.9684210526315788
1,96,96,true,96,212,2.2083333333333335
96,1,96,true,96,188,1.9583333333333333
1,97,97,true,97,213,2.195876288659794
97,1,97,true,97,189,1.9484536082474226
1,98,98,true,98,214,2.183673469387755
98,1,98,true,98,190,1.9387755102040816
1,99,99,true,99,215,2.1717171717171717
99,1,99,true,99,191,1.9292929292929293
1,100,100,true,100,216,2.16
100,1,100,true,100,192,1.92
1,101,101,true,101,217,2.1485148514851486
101,1,101,true,101,193,1.9108910891089108
1,102,102,true,102,218,2.1372549019607843
102,1,102,true,102,194,1.9019607843137254
1,103,103,true,103,219,2.1262135922330097
103,1,103,true,103,195,1.8932038834951457
1,104,104,true,104,220,2.1153846153846154
104,1,104,true,104,196,1.8846153846153846
1,105,105,true,105,221,2.104761904761905
105,1,105,true,105,197,1.8761904761904762
1,106,106,true,106,222,2.0943396226415096
106,1,106,true,106,198,1.8679245283018868
1,107,107,true,107,223,2.0841121495327104
107,1,107,true,107,199,1.8598130841121496
1,108,108,true,108,224,2.074074074074074
108,1,108,true,108,200,1.8518518518518519
1,109,109,true,109,225,2.0642201834862384
109,1,109,true,109,201,1.8440366972477065
1,110,110,true,110,226,2.0545454545454547
110,1,110,true,110,202,1.8363636363636364
1,111,111,true,111,227,2.045045045045045
111,1,111,true,111,203,1.8288288288288288
1,112,112,true,112,228,2.0357142857142856
112,1,112,true,112,204,1.8214285714285714
1,113,113,true,113,229,2.0265486725663715
113,1,113,true,113,205,1.8141592920353982
1,114,114,true,114,230,2.017543859649123
114,1,114,true,114,206,1.8070175438596492
1,115,115,true,115,231,2.008695652173913
115,1,115,true,115,207,1.8
1,116,116,true,116,232,2.0
116,1,116,true,116,208,1.793103448275862
1,117,117,true,117,233,1.9914529914529915
117,1,117,true,117,209,1.7863247863247864
1,118,118,true,118,234,1.9830508474576272
118,1,118,true,118,211,1.7881355932203389
1,119,119,true,119,238,2.0
119,1,119,true,119,235,1.9747899159663866
1,120,120,true,120,240,2.0
120,1,120,true,120,236,1.9666666666666666
1,121,121,true,121,241,1.9917355371900827
121,1,121,true,121,237,1.9586776859504131
1,122,122,true,122,242,1.9836065573770492
122,1,122,true,122,239,1.959016393442623
1,123,123,true,123,272,2.2113821138211383
123,1,123,true,123,243,1.975609756097561
1,124,124,true,124,274,2.2096774193548385
124,1,124,true,124,244,1.967741935483871
1,125,125,true,125,275,2.2
125,1,125,true,125,245,1.96
1,126,126,true,126,276,2.1904761904761907
126,1,126,true,126,246,1.9523809523809523
1,127,127,true,127,277,2.1811023622047245
127,1,127,true,127,247,1.9448818897637796
1,128,128,true,128,278,2.171875
128,1,128,true,128,248,1.9375
1,129,129,true,129,279,2.1627906976744184
129,1,129,true,129,249,1.930232558139535
