width,height,area,success,coverage,stepsUsed,ratio
82,1,82,true,82,90,1.0975609756097562
1,83,83,true,83,1154,13.903614457831326
83,1,83,true,83,91,1.0963855421686748
1,84,84,true,84,1160,13.80952380952381
84,1,84,true,84,92,1.0952380952380953
1,85,85,true,85,1178,13.858823529411765
85,1,85,true,85,94,1.1058823529411765
1,86,86,true,86,1198,13.930232558139535
86,1,86,true,86,95,1.1046511627906976
1,87,87,true,87,1222,14.045977011494253
87,1,87,true,87,96,1.103448275862069
1,88,88,true,88,1226,13.931818181818182
88,1,88,true,88,97,1.1022727272727273
1,89,89,true,89,1256,14.112359550561798
89,1,89,true,89,98,1.101123595505618
1,90,90,true,90,1288,14.311111111111112
90,1,90,true,90,99,1.1
1,91,91,true,91,1326,14.571428571428571
91,1,91,true,91,100,1.098901098901099
1,92,92,true,92,1328,14.434782608695652
92,1,92,true,92,101,1.0978260869565217
1,93,93,true,93,1331,14.311827956989248
93,1,93,true,93,102,1.096774193548387
1,94,94,true,94,1335,14.202127659574469
94,1,94,true,94,103,1.0957446808510638
1,95,95,true,95,1341,14.115789473684211
95,1,95,true,95,104,1.0947368421052632
1,96,96,true,96,1349,14.052083333333334
96,1,96,true,96,105,1.09375
1,97,97,true,97,1361,14.030927835051546
97,1,97,true,97,106,1.092783505154639
1,98,98,true,98,1375,14.03061224489796
98,1,98,true,98,107,1.0918367346938775
1,99,99,true,99,1381,13.94949494949495
99,1,99,true,99,108,1.0909090909090908
1,100,100,true,100,1399,13.99
100,1,100,true,100,109,1.09
1,101,101,true,101,1419,14.049504950495049
101,1,101,true,101,110,1.0891089108910892
1,102,102,true,102,1443,14.147058823529411
102,1,102,true,102,111,1.088235294117647
1,103,103,true,103,1447,14.048543689320388
103,1,103,true,103,112,1.087378640776699
1,104,104,true,104,1477,14.201923076923077
104,1,104,true,104,113,1.0865384615384615
1,105,105,true,105,1509,14.371428571428572
105,1,105,true,105,114,1.0857142857142856
1,106,106,true,106,1547,14.59433962264151
106,1,106,true,106,115,1.0849056603773586
1,107,107,true,107,1549,14.476635514018692
107,1,107,true,107,116,1.0841121495327102
1,108,108,true,108,1552,14.37037037037037
108,1,108,true,108,118,1.0925925925925926
1,109,109,true,109,1556,14.275229357798166
109,1,109,true,109,119,1.091743119266055
1,110,110,true,110,1562,14.2
110,1,110,true,110,120,1.0909090909090908
1,111,111,true,111,1570,14.144144144144144
111,1,111,true,111,122,1.0990990990990992
1,112,112,true,112,1582,14.125
112,1,112,true,112,123,1.0982142857142858
1,113,113,true,113,1596,14.123893805309734
113,1,113,true,113,124,1.0973451327433628
1,114,114,true,114,1602,14.052631578947368
114,1,114,true,114,125,1.0964912280701755
1,115,115,true,115,1620,14.08695652173913
115,1,115,true,115,126,1.0956521739130434
1,116,116,true,116,1640,14.137931034482758
116,1,116,true,116,127,1.0948275862068966
1,117,117,true,117,1664,14.222222222222221
117,1,117,true,117,128,1.0940170940170941
1,118,118,true,118,1668,14.135593220338983
118,1,118,true,118,129,1.0932203389830508
1,119,119,true,119,1698,14.268907563025211
119,1,119,true,119,130,1.0924369747899159
1,120,120,true,120,1730,14.416666666666666
120,1,120,true,120,131,1.0916666666666666
1,121,121,true,121,1768,14.611570247933884
121,1,121,true,121,132,1.0909090909090908
1,122,122,true,122,1770,14.508196721311476
122,1,122,true,122,133,1.0901639344262295
1,123,123,true,123,1773,14.414634146341463
123,1,123,true,123,134,1.089430894308943
1,124,124,true,124,1777,14.330645161290322
124,1,124,true,124,135,1.0887096774193548
1,125,125,true,125,1783,14.264
125,1,125,true,125,136,1.088
1,126,126,true,126,1791,14.214285714285714
126,1,126,true,126,137,1.0873015873015872
1,127,127,true,127,1803,14.196850393700787
127,1,127,true,127,138,1.0866141732283465
1,128,128,true,128,1817,14.1953125
128,1,128,true,128,139,1.0859375
1,129,129,true,129,1823,14.131782945736434
129,1,129,true,129,140,1.0852713178294573
1,130,130,true,130,1841,14.161538461538461
130,1,130,true,130,141,1.0846153846153845
1,131,131,true,131,1861,14.206106870229007
131,1,131,true,131,142,1.083969465648855
1,132,132,true,132,1885,14.280303030303031
132,1,132,true,132,143,1.0833333333333333
1,133,133,true,133,1889,14.203007518796992
133,1,133,true,133,144,1.0827067669172932
1,134,134,true,134,1919,14.32089552238806
134,1,134,true,134,145,1.0820895522388059
1,135,135,true,135,1951,14.451851851851853
135,1,135,true,135,146,1.0814814814814815
1,136,136,true,136,1989,14.625
136,1,136,true,136,147,1.0808823529411764
1,137,137,true,137,1991,14.532846715328468
137,1,137,true,137,148,1.0802919708029197
1,138,138,true,138,1994,14.44927536231884
138,1,138,true,138,149,1.0797101449275361
1,139,139,true,139,1998,14.37410071942446
139,1,139,true,139,150,1.079136690647482
1,140,140,true,140,2004,14.314285714285715
140,1,140,true,140,152,1.0857142857142856
1,141,141,true,141,2012,14.26950354609929
141,1,141,true,141,153,1.0851063829787233
1,142,142,true,142,2024,14.253521126760564
142,1,142,true,142,154,1.0845070422535212
1,143,143,true,143,2038,14.251748251748252
143,1,143,true,143,155,1.083916083916084
1,144,144,true,144,2044,14.194444444444445
144,1,144,true,144,156,1.0833333333333333
1,145,145,true,145,2062,14.220689655172414
145,1,145,true,145,157,1.0827586206896551
1,146,146,true,146,2082,14.26027397260274
146,1,146,true,146,158,1.082191780821918
1,147,147,true,147,2106,14.326530612244898
147,1,147,true,147,159,1.0816326530612246
1,148,148,true,148,2110,14.256756756756756
148,1,148,true,148,160,1.0810810810810811
1,149,149,true,149,2140,14.36241610738255
149,1,149,true,149,161,1.080536912751678
1,150,150,true,150,2172,14.48
150,1,150,true,150,162,1.08
1,151,151,true,151,2210,14.635761589403973
151,1,151,true,151,163,1.0794701986754967
1,152,152,true,152,2212,14.552631578947368
152,1,152,true,152,164,1.0789473684210527
1,153,153,true,153,2215,14.477124183006536
153,1,153,true,153,165,1.0784313725490196
1,154,154,true,154,2219,14.409090909090908
154,1,154,true,154,166,1.077922077922078
1,155,155,true,155,2225,14.35483870967742
155,1,155,true,155,167,1.0774193548387097
1,156,156,true,156,2233,14.314102564102564
156,1,156,true,156,168,1.0769230769230769
1,157,157,true,157,2245,14.299363057324841
157,1,157,true,157,169,1.0764331210191083
1,158,158,true,158,2259,14.29746835443038
158,1,158,true,158,170,1.0759493670886076
1,159,159,true,159,2265,14.245283018867925
159,1,159,true,159,171,1.0754716981132075
1,160,160,true,160,2283,14.26875
160,1,160,true,160,172,1.075
1,161,161,true,161,2303,14.304347826086957
161,1,161,true,161,173,1.0745341614906831
1,162,162,true,162,2327,14.364197530864198
162,1,162,true,162,174,1.0740740740740742
1,163,163,true,163,2331,14.300613496932515
163,1,163,true,163,175,1.0736196319018405
1,164,164,true,164,2361,14.396341463414634
164,1,164,true,164,176,1.0731707317073171
1,165,165,true,165,2393,14.503030303030304
165,1,165,true,165,177,1.0727272727272728
1,166,166,true,166,2431,14.644578313253012
166,1,166,true,166,178,1.072289156626506
1,167,167,true,167,2433,14.568862275449101
167,1,167,true,167,179,1.0718562874251496
1,168,168,true,168,2436,14.5
168,1,168,true,168,180,1.0714285714285714
1,169,169,true,169,2440,14.437869822485206
169,1,169,true,169,181,1.0710059171597632
1,170,170,true,170,2446,14.388235294117647
170,1,170,true,170,182,1.0705882352941176
1,171,171,true,171,2454,14.350877192982455
171,1,171,true,171,184,1.0760233918128654
1,172,172,true,172,2466,14.337209302325581
172,1,172,true,172,185,1.0755813953488371
1,173,173,true,173,2480,14.335260115606937
173,1,173,true,173,186,1.0751445086705202
1,174,174,true,174,2486,14.28735632183908
